Waypoint,swing_to_boom_pos,boom_to_arm_pos,arm_to_bucket_pos,swing_to_boom_vel,boom_to_arm_vel,arm_to_bucket_vel,time_from_start_s
68,0.0663115,-0.350599,0.49286,0.00261304,0.00276204,-0.04,6.8
69,0.0665728,-0.350323,0.48886,0.00261304,0.00276204,-0.04,6.9
70,0.0668341,-0.350047,0.48486,0.00261304,0.00276204,-0.04,7
71,0.0670954,-0.349771,0.48086,0.00261304,0.00276204,-0.04,7.1
72,0.0673567,-0.349494,0.47686,0.00261304,0.00276204,-0.04,7.2
73,0.067618,-0.349218,0.47286,0.00261304,0.00276204,-0.04,7.3
74,0.0678793,-0.348942,0.46886,0.00261304,0.00276204,-0.04,7.4
75,0.0681406,-0.348666,0.46486,0.00261304,0.00276204,-0.04,7.5
76,0.0684019,-0.34839,0.46086,0.00261304,0.00276204,-0.04,7.6
77,0.0686632,-0.348113,0.45686,0.00261304,0.00276204,-0.04,7.7
78,0.0689245,-0.347837,0.45286,0.00261304,0.00276204,-0.04,7.8
79,0.0691858,-0.347561,0.44886,0.00261304,0.00276204,-0.04,7.9
80,0.0694471,-0.347285,0.44486,0.00261304,0.00276204,-0.04,8
81,0.0697084,-0.347009,0.44086,0.00261304,0.00276204,-0.04,8.1
82,0.0699697,-0.346732,0.43686,0.00261304,0.00276204,-0.04,8.2
83,0.070231,-0.346456,0.43286,0.00261304,0.00276204,-0.04,8.3
84,0.0704923,-0.34618,0.42886,0.00261304,0.00276204,-0.04,8.4
85,0.0707536,-0.345904,0.42486,0.00261304,0.00276204,-0.04,8.5
86,0.0710149,-0.345628,0.42086,0.00261304,0.00276204,-0.04,8.6
87,0.0712762,-0.345351,0.41686,0.00261304,0.00276204,-0.04,8.7
88,0.0715375,-0.345075,0.41286,0.00261304,0.00276204,-0.04,8.8
89,0.0717988,-0.344799,0.40886,0.00261304,0.00276204,-0.04,8.9
90,0.0720601,-0.344523,0.40486,0.00261304,0.00276204,-0.04,9
91,0.0723215,-0.344247,0.40086,0.00261304,0.00276204,-0.04,9.1
92,0.0725828,-0.34397,0.39686,0.00261304,0.00276204,-0.04,9.2
93,0.0728441,-0.343694,0.39286,0.00261304,0.00276204,-0.04,9.3
94,0.0731054,-0.343418,0.38886,0.00261304,0.00276204,-0.04,9.4
95,0.0733667,-0.343142,0.38486,0.00261304,0.00276204,-0.04,9.5
96,0.073628,-0.342866,0.38086,0.00261304,0.00276204,-0.04,9.6
97,0.0738893,-0.342589,0.37686,0.00261304,0.00276204,-0.04,9.7
98,0.0741506,-0.342313,0.37286,0.00261304,0.00276204,-0.04,9.8
99,0.0744119,-0.342037,0.36886,0.00261304,0.00276204,-0.04,9.9
100,0.0746732,-0.341761,0.36486,0.00261304,0.00276204,-0.04,10
101,0.0749345,-0.341485,0.36086,0.00261304,0.00276204,-0.04,10.1
102,0.0751958,-0.341208,0.35686,0.00261304,0.00276204,-0.04,10.2
103,0.0754571,-0.340932,0.35286,0.00261304,0.00276204,-0.04,10.3
104,0.0757184,-0.340656,0.34886,0.00261304,0.00276204,-0.04,10.4
105,0.0759797,-0.34038,0.34486,0.00261304,0.00276204,-0.04,10.5
106,0.076241,-0.340104,0.34086,0.00261304,0.00276204,-0.04,10.6
107,0.0765023,-0.339827,0.33686,0.00261304,0.00276204,-0.04,10.7
108,0.0767636,-0.339551,0.33286,0.00261304,0.00276204,-0.04,10.8
109,0.0770249,-0.339275,0.32886,0.00261304,0.00276204,-0.04,10.9
110,0.0772862,-0.338999,0.32486,0.00261304,0.00276204,-0.04,11
111,0.0775475,-0.338722,0.32086,0.00261304,0.00276204,-0.04,11.1
112,0.0778088,-0.338446,0.31686,0.00261304,0.00276204,-0.04,11.2
113,0.0780701,-0.33817,0.31286,0.00261304,0.00276204,-0.04,11.3
114,0.0783314,-0.337894,0.30886,0.00261304,0.00276204,-0.04,11.4
115,0.0785927,-0.337618,0.30486,0.00261304,0.00276204,-0.04,11.5
116,0.0788541,-0.337341,0.30086,0.00261304,0.00276204,-0.04,11.6
117,0.0791154,-0.337065,0.29686,0.00261304,0.00276204,-0.04,11.7
118,0.0793767,-0.336789,0.29286,0.00261304,0.00276204,-0.04,11.8
119,0.079638,-0.336513,0.28886,0.00261304,0.00276204,-0.04,11.9
120,0.0798993,-0.336237,0.28486,0.00261304,0.00276204,-0.04,12
121,0.0801606,-0.33596,0.28086,0.00261304,0.00276204,-0.04,12.1
122,0.0804219,-0.335684,0.27686,0.00261304,0.00276204,-0.04,12.2
123,0.0806832,-0.335408,0.27286,0.00261304,0.00276204,-0.04,12.3
124,0.0809445,-0.335132,0.26886,0.00261304,0.00276204,-0.04,12.4
125,0.0812058,-0.334856,0.26486,0.00261304,0.00276204,-0.04,12.5
126,0.0814671,-0.334579,0.26086,0.00261304,0.00276204,-0.04,12.6
127,0.0817284,-0.334303,0.25686,0.00261304,0.00276204,-0.04,12.7
128,0.0819897,-0.334027,0.25286,0.00261304,0.00276204,-0.04,12.8
129,0.082251,-0.333751,0.24886,0.00261304,0.00276204,-0.04,12.9
130,0.0825123,-0.333475,0.24486,0.00261304,0.00276204,-0.04,13
131,0.0827736,-0.333198,0.24086,0.00261304,0.00276204,-0.04,13.1
132,0.0830349,-0.332922,0.23686,0.00261304,0.00276204,-0.04,13.2
133,0.0832962,-0.332646,0.23286,0.00261304,0.00276204,-0.04,13.3
134,0.0835575,-0.33237,0.22886,0.00261304,0.00276204,-0.04,13.4
135,0.0838188,-0.332094,0.22486,0.00261304,0.00276204,-0.04,13.5
136,0.0840801,-0.331817,0.22086,0.00261304,0.00276204,-0.04,13.6
137,0.0843414,-0.331541,0.21686,0.00261304,0.00276204,-0.04,13.7
138,0.0846027,-0.331265,0.21286,0.00261304,0.00276204,-0.04,13.8
139,0.084864,-0.330989,0.20886,0.00261304,0.00276204,-0.04,13.9
140,0.0851254,-0.330713,0.20486,0.00261304,0.00276204,-0.04,14
141,0.0853867,-0.330436,0.20086,0.00261304,0.00276204,-0.04,14.1
142,0.085648,-0.33016,0.19686,0.00261304,0.00276204,-0.04,14.2
143,0.0859093,-0.329884,0.19286,0.00261304,0.00276204,-0.04,14.3
144,0.0861706,-0.329608,0.18886,0.00261304,0.00276204,-0.04,14.4
145,0.0864319,-0.329332,0.18486,0.00261304,0.00276204,-0.04,14.5
146,0.0866932,-0.329055,0.18086,0.00261304,0.00276204,-0.04,14.6
147,0.0869545,-0.328779,0.17686,0.00261304,0.00276204,-0.04,14.7
148,0.0872158,-0.328503,0.17286,0.00261304,0.00276204,-0.04,14.8
149,0.0874771,-0.328227,0.16886,0.00261304,0.00276204,-0.04,14.9
150,0.0877384,-0.327951,0.16486,0.00261304,0.00276204,-0.04,15
151,0.0879997,-0.327674,0.16086,0.00261304,0.00276204,-0.04,15.1
152,0.088261,-0.327398,0.15686,0.00261304,0.00276204,-0.04,15.2
153,0.0885223,-0.327122,0.15286,0.00261304,0.00276204,-0.04,15.3
154,0.0887836,-0.326846,0.14886,0.00261304,0.00276204,-0.04,15.4
155,0.0890449,-0.326569,0.14486,0.00261304,0.00276204,-0.04,15.5
156,0.0893062,-0.326293,0.14086,0.00261304,0.00276204,-0.04,15.6
157,0.0895675,-0.326017,0.13686,0.00261304,0.00276204,-0.04,15.7
158,0.0898288,-0.325741,0.13286,0.00261304,0.00276204,-0.04,15.8
159,0.0900901,-0.325465,0.12886,0.00261304,0.00276204,-0.04,15.9
160,0.0903514,-0.325188,0.12486,0.00261304,0.00276204,-0.04,16
161,0.0906127,-0.324912,0.12086,0.00261304,0.00276204,-0.04,16.1
162,0.090874,-0.324636,0.11686,0.00261304,0.00276204,-0.04,16.2
163,0.0911353,-0.32436,0.11286,0.00261304,0.00276204,-0.04,16.3
164,0.0913967,-0.324084,0.10886,0.00261304,0.00276204,-0.04,16.4
165,0.091658,-0.323807,0.10486,0.00261304,0.00276204,-0.04,16.5
166,0.0919193,-0.323531,0.10086,0.00261304,0.00276204,-0.04,16.6
167,0.0921806,-0.323255,0.0968598,0.00261304,0.00276204,-0.04,16.7
168,0.0924419,-0.322979,0.0928598,0.00261304,0.00276204,-0.04,16.8
169,0.0927032,-0.322703,0.0888598,0.00261304,0.00276204,-0.04,16.9
170,0.0929645,-0.322426,0.0848598,0.00261304,0.00276204,-0.04,17
